,tiempo,presa,depredador
0,0.0000000,2.0000000,1.0000000
1,0.1000000,2.1248623,0.9820122
2,0.2000000,2.2596818,0.9681109
3,0.3000000,2.4047584,0.9584212
4,0.4000000,2.5603034,0.9531164
5,0.5000000,2.7264033,0.9524249
6,0.6000000,2.9029769,0.9566390
7,0.7000000,3.0897223,0.9661236
8,0.8000000,3.2860544,0.9813268
9,0.9000000,3.4910302,1.0027904
10,1.0000000,3.7032644,1.0311606
11,1.1000000,3.9208340,1.0671975
12,1.2000000,4.1411775,1.1117809
13,1.3000000,4.3609934,1.1659100
14,1.4000000,4.5761499,1.2306919
15,1.5000000,4.7816233,1.3073136
16,1.6000000,4.9714886,1.3969875
17,1.7000000,5.1389945,1.5008629
18,1.8000000,5.2767606,1.6198934
19,1.9000000,5.3771321,1.7546538
20,2.0000000,5.4327167,1.9051099
21,2.1000000,5.4370966,2.0703578
22,2.2000000,5.3856604,2.2483709
23,2.3000000,5.2764358,2.4358153
24,2.4000000,5.1107491,2.6280069
25,2.5000000,4.8935184,2.8190770
26,2.6000000,4.6330333,3.0023737
27,2.7000000,4.3401936,3.1710649
28,2.8000000,4.0273279,3.3188379
29,2.9000000,3.7068439,3.4405510
30,3.0000000,3.3899994,3.5327010
31,3.1000000,3.0860217,3.5936249
32,3.2000000,2.8016782,3.6234315
33,3.3000000,2.5412664,3.6237246
34,3.4000000,2.3069094,3.5972108
35,3.5000000,2.0990108,3.5472833
36,3.6000000,1.9167466,3.4776475
37,3.7000000,1.7585126,3.3920257
38,3.8000000,1.6222844,3.2939483
39,3.9000000,1.5058828,3.1866257
40,4.0000000,1.4071528,3.0728840
41,4.1000000,1.3240734,2.9551463
42,4.2000000,1.2548170,2.8354455
43,4.3000000,1.1977741,2.7154542
44,4.4000000,1.1515557,2.5965241
45,4.5000000,1.1149829,2.4797282
46,4.6000000,1.0870708,2.3659016
47,4.7000000,1.0670081,2.2556804
48,4.8000000,1.0541380,2.1495350
49,4.9000000,1.0479396,2.0478011
50,5.0000000,1.0480113,1.9507045
51,5.1000000,1.0540562,1.8583834
52,5.2000000,1.0658700,1.7709066
53,5.3000000,1.0833301,1.6882890
54,5.4000000,1.1063871,1.6105044
55,5.5000000,1.1350578,1.5374958
56,5.6000000,1.1694182,1.4691849
57,5.7000000,1.2095993,1.4054791
58,5.8000000,1.2557823,1.3462780
59,5.9000000,1.3081943,1.2914783
60,6.0000000,1.3671049,1.2409788
61,6.1000000,1.4328223,1.1946842
62,6.2000000,1.5056892,1.1525089
63,6.3000000,1.5860777,1.1143803
64,6.4000000,1.6743839,1.0802420
65,6.5000000,1.7710206,1.0500574
66,6.6000000,1.8764085,1.0238130
67,6.7000000,1.9909648,1.0015223
68,6.8000000,2.1150891,0.9832298
69,6.9000000,2.2491452,0.9690160
70,7.0000000,2.3934385,0.9590028
71,7.1000000,2.5481880,0.9533596
72,7.2000000,2.7134911,0.9523104
73,7.3000000,2.8892810,0.9561422
74,7.4000000,3.0752747,0.9652142
75,7.5000000,3.2709106,0.9799679
76,7.6000000,3.4752758,1.0009375
77,7.7000000,3.6870215,1.0287610
78,7.8000000,3.9042688,1.0641897
79,7.9000000,4.1245081,1.1080942
80,8.0000000,4.3444971,1.1614649
81,8.1000000,4.5601693,1.2254016
82,8.2000000,4.7665697,1.3010867
83,8.3000000,4.9578398,1.3897332
84,8.4000000,5.1272856,1.4924994
85,8.5000000,5.2675642,1.6103591
86,8.6000000,5.3710250,1.7439235
87,8.7000000,5.4302330,1.8932133
88,8.8000000,5.4386688,2.0573993
89,8.9000000,5.3915546,2.2345475
90,9.0000000,5.2866923,2.4214265
91,9.1000000,5.1251433,2.6134514
92,9.2000000,4.9115550,2.8048316
93,9.3000000,4.6539827,2.9889557
94,9.4000000,4.3631662,3.1589809
95,9.5000000,4.0513730,3.3085311
96,9.6000000,3.7310508,3.4323570
97,9.7000000,3.4135804,3.5268210
98,9.8000000,3.1083632,3.5901203
99,9.9000000,2.8223572,3.6222375
100,10.0000000,2.5600393,3.6246763
101,10.1000000,2.3236821,3.6000749
102,10.2000000,2.1138015,3.5517882
103,10.3000000,1.9296501,3.4835098
104,10.4000000,1.7696685,3.3989687
105,10.5000000,1.6318538,3.3017155
106,10.6000000,1.5140312,3.1949876
107,10.7000000,1.4140392,3.0816411
108,10.8000000,1.3298443,2.9641296
109,10.9000000,1.2596030,2.8445144
110,11.0000000,1.2016889,2.7244942
111,11.1000000,1.1546966,2.6054433
112,11.2000000,1.1174321,2.4884544
113,11.3000000,1.0888962,2.3743791
114,11.4000000,1.0682654,2.2638673
115,11.5000000,1.0548719,2.1574009
116,11.6000000,1.0481851,2.0553248
117,11.7000000,1.0477948,1.9578722
118,11.8000000,1.0533968,1.8651873
119,11.9000000,1.0647801,1.7773435
120,12.0000000,1.0818164,1.6943595
121,12.1000000,1.1044510,1.6162115
122,12.2000000,1.1326957,1.5428447
123,12.3000000,1.1666225,1.4741822
124,12.4000000,1.2063584,1.4101321
125,12.5000000,1.2520806,1.3505943
126,12.6000000,1.3040133,1.2954658
127,12.7000000,1.3624228,1.2446450
128,12.8000000,1.4276146,1.1980360
129,12.9000000,1.4999289,1.1555523
130,13.0000000,1.5797358,1.1171203
131,13.1000000,1.6674298,1.0826822
132,13.2000000,1.7634227,1.0521998
133,13.3000000,1.8681350,1.0256577
134,13.4000000,1.9819846,1.0030672
135,13.5000000,2.1053730,0.9844705
136,13.6000000,2.2386674,0.9699450
137,13.7000000,2.3821787,0.9596093
138,13.8000000,2.5361333,0.9536289
139,13.9000000,2.7006393,0.9522236
140,14.0000000,2.8756441,0.9556753
141,14.1000000,3.0608828,0.9643372
142,14.2000000,3.2558174,0.9786444
143,14.3000000,3.4595643,0.9991236
144,14.4000000,3.6708109,1.0264048
145,14.5000000,3.8877217,1.0612303
146,14.6000000,4.1078384,1.1044616
147,14.7000000,4.3279773,1.1570802
148,14.8000000,4.5441370,1.2201785
149,14.9000000,4.7514307,1.2949340
150,15.0000000,4.9440673,1.3825599
151,15.1000000,5.1154111,1.4842224
152,15.2000000,5.2581581,1.6009151
153,15.3000000,5.3646653,1.7332838
154,15.4000000,5.4274590,1.8814026
155,15.5000000,5.4399229,2.0445158
156,15.6000000,5.3971176,2.2207808
157,15.7000000,5.2966233,2.4070683
158,15.8000000,5.1392384,2.5988932
159,15.9000000,4.9293387,2.7905456
160,16.0000000,4.6747409,2.9754575
161,16.1000000,4.3860181,3.1467801
162,16.2000000,4.0753690,3.2980773
163,16.3000000,3.7552740,3.4239950
164,16.4000000,3.4372315,3.5207626
165,16.5000000,3.1308144,3.5864372
166,16.6000000,2.8431715,3.6208737
167,16.7000000,2.5789603,3.6254734
168,16.8000000,2.3406056,3.6028035
169,16.9000000,2.1287388,3.5561790
170,17.0000000,1.9426911,3.4892791
171,17.1000000,1.7809505,3.4058392
172,17.2000000,1.6415368,3.3094285
173,17.3000000,1.5222809,3.2033115
174,17.4000000,1.4210154,3.0903743
175,17.5000000,1.3356944,2.9731007
176,17.6000000,1.2644589,2.8535808
177,17.7000000,1.2056656,2.7335394
178,17.8000000,1.1578927,2.6143740
179,17.9000000,1.1199308,2.4971969
180,18.0000000,1.0907666,2.3828767
181,18.1000000,1.0695639,2.2720770
182,18.2000000,1.0556440,2.1652916
183,18.3000000,1.0484664,2.0628746
184,18.4000000,1.0476124,1.9650668
185,18.5000000,1.0527704,1.8720185
186,18.6000000,1.0637225,1.7838079
187,18.7000000,1.0803347,1.7004573
188,18.8000000,1.1025469,1.6219456
189,18.9000000,1.1303661,1.5482203
190,19.0000000,1.1638600,1.4792055
191,19.1000000,1.2031516,1.4148106
192,19.2000000,1.2484145,1.3549356
193,19.3000000,1.2998694,1.2994777
194,19.4000000,1.3577796,1.2483350
195,19.5000000,1.4224478,1.2014111
196,19.6000000,1.4942116,1.1586187
197,19.7000000,1.5734391,1.1198829
198,19.8000000,1.6605233,1.0851448
199,19.9000000,1.7558748,1.0543646
200,20.0000000,1.8599139,1.0275249
201,20.1000000,1.9730592,1.0046349
202,20.2000000,2.0957138,0.9857343
203,20.3000000,2.2282484,0.9708978
204,20.4000000,2.3709789,0.9602406
205,20.5000000,2.5241394,0.9539244
206,20.6000000,2.6878481,0.9521645
207,20.7000000,2.8620661,0.9552380
208,20.8000000,3.0465469,0.9634924
209,20.9000000,3.2407753,0.9773561
210,21.0000000,3.4438966,0.9973486
211,21.1000000,3.6546336,1.0240917
212,21.2000000,3.8711939,1.0583189
213,21.3000000,4.0911698,1.1008826
214,21.4000000,4.3114358,1.1527555
215,21.5000000,4.5280551,1.2150221
216,21.6000000,4.7362092,1.2888549
217,21.7000000,4.9301743,1.3754669
218,21.8000000,5.1033741,1.4760316
219,21.9000000,5.2485457,1.5915611
220,22.0000000,5.3580562,1.7227347
221,22.1000000,5.4243973,1.8696784
222,22.2000000,5.4408605,2.0317085
223,22.3000000,5.4023498,2.2070725
224,22.4000000,5.3062278,2.3927428
225,22.5000000,5.1530318,2.5843350
226,22.6000000,4.9468654,2.7762218
227,22.7000000,4.6953028,2.9618823
228,22.8000000,4.4087440,3.1344650
229,22.9000000,4.0993105,3.2874784
230,23.0000000,3.7795088,3.4154662
231,23.1000000,3.4609491,3.5145262
232,23.2000000,3.1533730,3.5825754
233,23.3000000,2.8641196,3.6193393
234,23.4000000,2.5980289,3.6261147
235,23.5000000,2.3576802,3.6053953
236,23.6000000,2.1438232,3.5604539
237,23.7000000,1.9558704,3.4949540
238,23.8000000,1.7923594,3.4126355
239,23.9000000,1.6513344,3.3170861
240,24.0000000,1.5306328,3.2115964
241,24.1000000,1.4280822,3.0990826
242,24.2000000,1.3416246,2.9820587
243,24.3000000,1.2693855,2.8626440
244,24.4000000,1.2097050,2.7425895
245,24.5000000,1.1611446,2.6233158
246,24.6000000,1.1224795,2.5059554
247,24.7000000,1.0926822,2.3913940
248,24.8000000,1.0709039,2.2803094
249,24.9000000,1.0564544,2.1732069
250,25.0000000,1.0487837,2.0704503
251,25.1000000,1.0474643,1.9722883
252,25.2000000,1.0521770,1.8788771
253,25.3000000,1.0626972,1.7902998
254,25.4000000,1.0788849,1.7065824
255,25.5000000,1.1006748,1.6277069
256,25.6000000,1.1280690,1.5536225
257,25.7000000,1.1611307,1.4842551
258,25.8000000,1.1999790,1.4195146
259,25.9000000,1.2447839,1.3593020
260,26.0000000,1.2957624,1.3035141
261,26.1000000,1.3531751,1.2520490
262,26.2000000,1.4173215,1.2048097
263,26.3000000,1.4885370,1.1617081
264,26.4000000,1.5671875,1.1226683
265,26.5000000,1.6536642,1.0876299
266,26.6000000,1.7483768,1.0565517
267,26.7000000,1.8517451,1.0294145
268,26.8000000,1.9641883,1.0062253
269,26.9000000,2.0861114,0.9870213
270,27.0000000,2.2178880,0.9718744
271,27.1000000,2.3598392,0.9608965
272,27.2000000,2.5122061,0.9542457
273,27.3000000,2.6751174,0.9521330
274,27.4000000,2.8485474,0.9548303
275,27.5000000,3.0322673,0.9626796
276,27.6000000,3.2257847,0.9761027
277,27.7000000,3.4282731,0.9956121
278,27.8000000,3.6384904,1.0218212
279,27.9000000,3.8546867,1.0554550
280,28.0000000,4.0745040,1.0973568
281,28.1000000,4.2948747,1.1484901
282,28.2000000,4.5119261,1.2099318
283,28.3000000,4.7209079,1.2828490
284,28.4000000,4.9161638,1.3684539
285,28.5000000,5.0911779,1.4679267
286,28.6000000,5.2387302,1.5822970
287,28.7000000,5.3512008,1.7122764
288,28.8000000,5.4210506,1.8580413
289,28.9000000,5.4414835,2.0189784
290,29.0000000,5.4072518,2.1934242
291,29.1000000,5.3155047,2.3784523
292,29.2000000,5.1665209,2.5697795
293,29.3000000,4.9641312,2.7618633
294,29.4000000,4.7156635,2.9482328
295,29.5000000,4.4313382,3.1220383
296,29.6000000,4.1231925,3.2767365
297,29.7000000,3.8037506,3.4067720
