,tiempo,presa,depredador
0,0.0000000,2.0000000,1.0000000
1,0.1000000,2.2596810,0.9681119
2,0.2000000,2.5603016,0.9531185
3,0.3000000,2.9029738,0.9566426
4,0.4000000,3.2860496,0.9813321
5,0.5000000,3.7032575,1.0311680
6,0.6000000,4.1411677,1.1117906
7,0.7000000,4.5761358,1.2307037
8,0.8000000,4.9714680,1.3969999
9,0.9000000,5.2767301,1.6199021
10,1.0000000,5.4326737,1.9051064
11,1.1000000,5.3856075,2.2483432
12,1.2000000,5.1106993,2.6279461
13,1.3000000,4.6330080,3.0022856
14,1.4000000,4.0273438,3.3187450
15,1.5000000,3.3900576,3.5326276
16,1.6000000,2.8017654,3.6233888
17,1.7000000,2.3070076,3.5971978
18,1.8000000,1.9168408,3.4776579
19,1.9000000,1.6223665,3.2939753
20,2.0000000,1.4072202,3.0729219
21,2.1000000,1.2548704,2.8354897
22,2.2000000,1.1515969,2.5965712
23,2.3000000,1.0871017,2.3659492
24,2.4000000,1.0541603,2.1495815
25,2.5000000,1.0480261,1.9507489
26,2.6000000,1.0658780,1.7709482
27,2.7000000,1.1063889,1.6105429
28,2.8000000,1.1694137,1.4692202
29,2.9000000,1.2557713,1.3463101
30,3.0000000,1.3670869,1.2410077
31,3.1000000,1.5056636,1.1525348
32,3.2000000,1.6743497,1.0802649
33,3.3000000,1.8763646,1.0238330
34,3.4000000,2.1150341,0.9832470
35,3.5000000,2.3933712,0.9590172
36,3.6000000,2.7134103,0.9523218
37,3.7000000,3.0751796,0.9652224
38,3.8000000,3.4751665,1.0009418
39,3.9000000,3.9041467,1.0641892
40,4.0000000,4.3443656,1.1614577
41,4.1000000,4.7664347,1.3010697
42,4.2000000,5.1271562,1.4924670
43,4.3000000,5.3709128,1.7438672
44,4.4000000,5.4385888,2.0573076
45,4.5000000,5.2866626,2.4212909
46,4.6000000,4.9115932,2.8046574
47,4.7000000,4.3632799,3.1587951
48,4.8000000,3.7312282,3.4321980
49,4.9000000,3.1085766,3.5900151
50,5.0000000,2.5602584,3.6246309
51,5.1000000,2.1140032,3.5517946
52,5.2000000,1.7698410,3.3990140
53,5.3000000,1.5141718,3.1950593
54,5.4000000,1.3299555,2.9642173
55,5.5000000,1.2017749,2.7245900
56,5.6000000,1.1174974,2.4885525
57,5.7000000,1.0683136,2.2639640
58,5.8000000,1.0482187,2.0554175
59,5.9000000,1.0534176,1.8652745
60,6.0000000,1.0818254,1.6944404
61,6.1000000,1.1326934,1.5429190
62,6.2000000,1.2063445,1.4101996
63,6.3000000,1.3039872,1.2955267
64,6.4000000,1.4275753,1.1980904
65,6.5000000,1.5796818,1.1171684
66,6.6000000,1.7633520,1.0522419
67,6.7000000,1.9818951,1.0031033
68,6.8000000,2.2385568,0.9699751
69,6.9000000,2.5359993,0.9536527
70,7.0000000,2.8754849,0.9556922
71,7.1000000,3.2556325,0.9786535
72,7.2000000,3.6706016,1.0264044
73,7.3000000,4.1076093,1.1044488
74,7.4000000,4.5438975,1.2201492
75,7.5000000,4.9438327,1.3825075
76,7.6000000,5.2579502,1.6008302
77,7.7000000,5.4273050,1.8812731
78,7.8000000,5.3970467,2.2205961
79,7.9000000,5.1392759,2.5986540
80,8.0000000,4.6748962,2.9751884
81,8.1000000,4.0756258,3.2978246
82,8.2000000,3.4375502,3.5205714
83,8.3000000,2.8435056,3.6207657
84,8.4000000,2.3409185,3.6027761
85,8.5000000,1.9429622,3.4893170
86,8.6000000,1.6417600,3.3095133
87,8.7000000,1.4211934,3.0904895
88,8.8000000,1.2645980,2.8537132
89,8.9000000,1.1579997,2.6145137
90,9.0000000,1.0908472,2.3830169
91,9.1000000,1.0557027,2.1654279
92,9.2000000,1.0476523,1.9651962
93,9.3000000,1.0637455,1.7839289
94,9.4000000,1.1025540,1.6220573
95,9.5000000,1.1638514,1.4793076
96,9.6000000,1.2483897,1.3550282
97,9.7000000,1.3577372,1.2484182
98,9.8000000,1.4941500,1.1586928
99,9.9000000,1.6604401,1.0852101
100,10.0000000,1.8598064,1.0275815
101,10.1000000,2.0955788,0.9857824
102,10.2000000,2.3708132,0.9602798
103,10.3000000,2.6876487,0.9521944
104,10.4000000,3.0463119,0.9635117
105,10.5000000,3.4436262,0.9973554
106,10.6000000,3.8708919,1.0583102
107,10.7000000,4.3111114,1.1527265
108,10.8000000,4.7358793,1.2887987
109,10.9000000,5.1030649,1.4759380
110,11.0000000,5.3578032,1.7225908
111,11.1000000,5.4407045,2.0315008
112,11.2000000,5.3062067,2.3924659
113,11.3000000,4.9470010,2.7758917
114,11.4000000,4.4090268,3.1341268
115,11.5000000,3.7798955,3.4151788
116,11.6000000,3.1538028,3.5823813
117,11.7000000,2.5984474,3.6260251
118,11.8000000,2.1441958,3.5604571
119,11.9000000,1.7926720,3.4127100
120,12.0000000,1.5308854,3.2117201
121,12.1000000,1.3418241,2.9822128
122,12.2000000,1.2098602,2.7427593
123,12.3000000,1.1225986,2.5061305
124,12.4000000,1.0709933,2.2804826
125,12.5000000,1.0488481,2.0706170
126,12.6000000,1.0522195,1.8790344
127,12.7000000,1.0789075,1.7067288
128,12.8000000,1.1280723,1.5537572
129,12.9000000,1.1999628,1.4196375
130,13.0000000,1.2957258,1.3036253
131,13.1000000,1.4172626,1.2049095
132,13.2000000,1.5671037,1.1227569
133,13.3000000,1.7482650,1.0566296
134,13.4000000,1.9640449,1.0062926
135,13.5000000,2.2177089,0.9719310
136,13.6000000,2.5119874,0.9542911
137,13.7000000,2.8482858,0.9548634
138,13.8000000,3.2254785,0.9761218
139,13.9000000,3.6381415,1.0218232
140,14.0000000,4.0741193,1.0973370
141,14.1000000,4.5115209,1.2098833
142,14.2000000,4.9157640,1.3683665
143,14.3000000,5.2383740,1.5821573
144,14.4000000,5.4207863,1.8578337
145,14.5000000,5.4071300,2.1931372
146,14.6000000,5.1665804,2.5694179
147,14.7000000,4.7159122,2.9478319
148,14.8000000,4.1235958,3.2763589
149,14.9000000,3.4852203,3.5078200
150,15.0000000,2.8857067,3.6174585
151,15.1000000,2.3753749,3.6077909
152,15.2000000,1.9695930,3.5005721
153,15.3000000,1.6615801,3.3247976
154,15.4000000,1.4355065,3.1079231
155,15.5000000,1.2745929,2.8718893
156,15.6000000,1.1646158,2.6324672
157,15.7000000,1.0947685,2.4001325
158,15.8000000,1.0573971,2.1813440
159,15.9000000,1.0474175,1.9797251
160,16.0000000,1.0617473,1.7969963
161,16.1000000,1.0988553,1.6336596
162,16.2000000,1.1584331,1.4894818
163,16.3000000,1.2411645,1.3638309
164,16.4000000,1.3485609,1.2559113
165,16.5000000,1.4828301,1.1649321
166,16.6000000,1.6467474,1.0902366
167,16.7000000,1.8434896,1.0314134
168,16.8000000,2.0763883,0.9884062
169,16.9000000,2.3485389,0.9616396
170,17.0000000,2.6621792,0.9521780
171,17.1000000,3.0177253,0.9619330
172,17.2000000,3.4123238,0.9939308
173,17.3000000,3.8377826,1.0526337
174,17.4000000,4.2778411,1.1442507
175,17.5000000,4.7050606,1.2768450
176,17.6000000,5.0783791,1.4597855
177,17.7000000,5.3437275,1.7017198
178,17.8000000,5.4415494,2.0060536
179,17.9000000,5.3243946,2.3638366
180,18.0000000,4.9812899,2.7470413
181,18.1000000,4.4541559,3.1090566
182,18.2000000,3.8284975,3.3975257
183,18.3000000,3.1993647,3.5740408
184,18.4000000,2.6371558,3.6267831
185,18.5000000,2.1749259,3.5686295
186,18.6000000,1.8159756,3.4260750
187,18.7000000,1.5479835,3.2281871
188,18.8000000,1.3539963,3.0001183
189,18.9000000,1.2181852,2.7609112
190,19.0000000,1.1278935,2.5237387
191,19.1000000,1.0738360,2.2970606
192,19.2000000,1.0496221,2.0858926
193,19.3000000,1.0511570,1.8928786
194,19.4000000,1.0761237,1.7191046
195,19.5000000,1.1235900,1.5646828
196,19.6000000,1.1937301,1.4291611
197,19.7000000,1.2876278,1.3118074
198,19.8000000,1.4071318,1.2118103
199,19.9000000,1.5547295,1.1284264
200,20.0000000,1.7334057,1.0610992
201,20.1000000,1.9464468,1.0095670
202,20.2000000,2.1971350,0.9739786
203,20.3000000,2.4882643,0.9550322
204,20.4000000,2.8213762,0.9541542
205,20.5000000,3.1955902,0.9737343
206,20.6000000,3.6058835,1.0174209
207,20.7000000,4.0407098,1.0904503
208,20.8000000,4.4790255,1.1999002
209,20.9000000,4.8872890,1.3545712
